Left_side,Right_side,Support,Confidence,Lift
BETA-LACTAM,"TETRACYCLINE,QUINOLONE",0.16326530612244897,0.16842105263157894,1.0315789473684212
"FOSFOMYCIN,METHICILLIN",BETA-LACTAM,0.14285714285714285,1.0,1.0315789473684212
"TETRACYCLINE,METHICILLIN",BETA-LACTAM,0.2857142857142857,1.0,1.0315789473684212
MACROLIDE,"TETRACYCLINE,BETA-LACTAM",0.15306122448979592,1.0,1.0315789473684212
"TETRACYCLINE,MACROLIDE",BETA-LACTAM,0.15306122448979592,1.0,1.0315789473684212
"QUINOLONE,MACROLIDE",BETA-LACTAM,0.10204081632653061,1.0,1.0315789473684212
QUINOLONE,BETA-LACTAM,0.16326530612244897,1.0,1.0315789473684212
BETA-LACTAM,"QUINOLONE,MACROLIDE",0.10204081632653061,0.10526315789473685,1.0315789473684212
"TETRACYCLINE,QUINOLONE",BETA-LACTAM,0.16326530612244897,1.0,1.0315789473684212
BETA-LACTAM,"TETRACYCLINE,METHICILLIN,MACROLIDE",0.11224489795918367,0.11578947368421053,1.0315789473684212
"TETRACYCLINE,BETA-LACTAM","QUINOLONE,MACROLIDE",0.10204081632653061,0.10526315789473685,1.0315789473684212
"TETRACYCLINE,QUINOLONE,MACROLIDE",BETA-LACTAM,0.10204081632653061,1.0,1.0315789473684212
"QUINOLONE,METHICILLIN,MACROLIDE","TETRACYCLINE,BETA-LACTAM",0.09183673469387756,1.0,1.0315789473684212
"TETRACYCLINE,QUINOLONE,METHICILLIN",BETA-LACTAM,0.14285714285714285,1.0,1.0315789473684212
"QUINOLONE,METHICILLIN","TETRACYCLINE,BETA-LACTAM",0.14285714285714285,1.0,1.0315789473684212
"QUINOLONE,METHICILLIN,MACROLIDE",BETA-LACTAM,0.09183673469387756,1.0,1.0315789473684212
"QUINOLONE,MACROLIDE","TETRACYCLINE,BETA-LACTAM",0.10204081632653061,1.0,1.0315789473684212
"TETRACYCLINE,METHICILLIN,MACROLIDE",BETA-LACTAM,0.11224489795918367,1.0,1.0315789473684212
"FOSFOMYCIN,METHICILLIN","TETRACYCLINE,BETA-LACTAM",0.14285714285714285,1.0,1.0315789473684212
"FOSFOMYCIN,TETRACYCLINE,METHICILLIN",BETA-LACTAM,0.14285714285714285,1.0,1.0315789473684212
"METHICILLIN,MACROLIDE","TETRACYCLINE,BETA-LACTAM",0.11224489795918367,1.0,1.0315789473684212
"TETRACYCLINE,BETA-LACTAM","METHICILLIN,MACROLIDE",0.11224489795918367,0.11578947368421053,1.0315789473684212
BETA-LACTAM,"TETRACYCLINE,QUINOLONE,MACROLIDE",0.10204081632653061,0.10526315789473685,1.0315789473684212
"TETRACYCLINE,QUINOLONE,METHICILLIN,MACROLIDE",BETA-LACTAM,0.09183673469387756,1.0,1.0315789473684212
METHICILLIN,BETA-LACTAM,0.2857142857142857,1.0,1.0315789473684212
BETA-LACTAM,METHICILLIN,0.2857142857142857,0.29473684210526313,1.031578947368421
BETA-LACTAM,"FOSFOMYCIN,TETRACYCLINE,METHICILLIN",0.14285714285714285,0.14736842105263157,1.031578947368421
BETA-LACTAM,"FOSFOMYCIN,METHICILLIN",0.14285714285714285,0.14736842105263157,1.031578947368421
"TETRACYCLINE,BETA-LACTAM","FOSFOMYCIN,METHICILLIN",0.14285714285714285,0.14736842105263157,1.031578947368421
BETA-LACTAM,"TETRACYCLINE,METHICILLIN",0.2857142857142857,0.29473684210526313,1.031578947368421
"TETRACYCLINE,BETA-LACTAM","METHICILLIN,QUINOLONE",0.14285714285714285,0.14736842105263157,1.031578947368421
BETA-LACTAM,"TETRACYCLINE,METHICILLIN,QUINOLONE,MACROLIDE",0.09183673469387756,0.09473684210526316,1.031578947368421
BETA-LACTAM,"METHICILLIN,QUINOLONE",0.14285714285714285,0.14736842105263157,1.031578947368421
BETA-LACTAM,"TETRACYCLINE,METHICILLIN,QUINOLONE",0.14285714285714285,0.14736842105263157,1.031578947368421
"TETRACYCLINE,BETA-LACTAM","METHICILLIN,QUINOLONE,MACROLIDE",0.09183673469387756,0.09473684210526316,1.031578947368421
"TETRACYCLINE,BETA-LACTAM",METHICILLIN,0.2857142857142857,0.29473684210526313,1.031578947368421
BETA-LACTAM,"METHICILLIN,QUINOLONE,MACROLIDE",0.09183673469387756,0.09473684210526316,1.031578947368421
,"TETRACYCLINE,METHICILLIN,BETA-LACTAM,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
,"TETRACYCLINE,METHICILLIN,QUINOLONE",0.14285714285714285,0.14285714285714285,1.0
,FOSFOMYCIN,0.8061224489795918,0.8061224489795918,1.0
"FOSFOMYCIN,METHICILLIN,BETA-LACTAM",TETRACYCLINE,0.14285714285714285,1.0,1.0
,"TETRACYCLINE,METHICILLIN,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
,"METHICILLIN,QUINOLONE,MACROLIDE",0.09183673469387756,0.09183673469387756,1.0
TETRACYCLINE,"METHICILLIN,QUINOLONE",0.14285714285714285,0.14285714285714285,1.0
"QUINOLONE,METHICILLIN",TETRACYCLINE,0.14285714285714285,1.0,1.0
TETRACYCLINE,"FOSFOMYCIN,BETA-LACTAM",0.7755102040816326,0.7755102040816326,1.0
TETRACYCLINE,"FOSFOMYCIN,METHICILLIN",0.14285714285714285,0.14285714285714285,1.0
,"FOSFOMYCIN,TETRACYCLINE,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
"FOSFOMYCIN,BETA-LACTAM",TETRACYCLINE,0.7755102040816326,1.0,1.0
,"QUINOLONE,METHICILLIN,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.09183673469387756,1.0
,"FOSFOMYCIN,TETRACYCLINE,METHICILLIN",0.14285714285714285,0.14285714285714285,1.0
"QUINOLONE,BETA-LACTAM",TETRACYCLINE,0.16326530612244897,1.0,1.0
TETRACYCLINE,"QUINOLONE,BETA-LACTAM",0.16326530612244897,0.16326530612244897,1.0
,"TETRACYCLINE,QUINOLONE,BETA-LACTAM",0.16326530612244897,0.16326530612244897,1.0
TETRACYCLINE,"FOSFOMYCIN,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
,"QUINOLONE,BETA-LACTAM,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
,"TETRACYCLINE,QUINOLONE,BETA-LACTAM,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
TETRACYCLINE,"BETA-LACTAM,MACROLIDE",0.15306122448979592,0.15306122448979592,1.0
TETRACYCLINE,"METHICILLIN,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
TETRACYCLINE,"METHICILLIN,BETA-LACTAM,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
"QUINOLONE,BETA-LACTAM,MACROLIDE",TETRACYCLINE,0.10204081632653061,1.0,1.0
,"TETRACYCLINE,BETA-LACTAM,MACROLIDE",0.15306122448979592,0.15306122448979592,1.0
,"TETRACYCLINE,QUINOLONE,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
TETRACYCLINE,"QUINOLONE,BETA-LACTAM,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
,"METHICILLIN,BETA-LACTAM,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
"QUINOLONE,MACROLIDE",TETRACYCLINE,0.10204081632653061,1.0,1.0
"BETA-LACTAM,MACROLIDE",TETRACYCLINE,0.15306122448979592,1.0,1.0
"METHICILLIN,BETA-LACTAM,MACROLIDE",TETRACYCLINE,0.11224489795918367,1.0,1.0
,"METHICILLIN,QUINOLONE,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
,"TETRACYCLINE,METHICILLIN,BETA-LACTAM",0.2857142857142857,0.2857142857142857,1.0
"METHICILLIN,MACROLIDE",TETRACYCLINE,0.11224489795918367,1.0,1.0
TETRACYCLINE,"METHICILLIN,BETA-LACTAM",0.2857142857142857,0.2857142857142857,1.0
,BETA-LACTAM,0.9693877551020408,0.9693877551020408,1.0
TETRACYCLINE,"QUINOLONE,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
"FOSFOMYCIN,METHICILLIN",TETRACYCLINE,0.14285714285714285,1.0,1.0
,"TETRACYCLINE,MACROLIDE",0.15306122448979592,0.15306122448979592,1.0
"METHICILLIN,BETA-LACTAM",TETRACYCLINE,0.2857142857142857,1.0,1.0
TETRACYCLINE,MACROLIDE,0.15306122448979592,0.15306122448979592,1.0
,MACROLIDE,0.15306122448979592,0.15306122448979592,1.0
TETRACYCLINE,BETA-LACTAM,0.9693877551020408,0.9693877551020408,1.0
,"TETRACYCLINE,METHICILLIN",0.2857142857142857,0.2857142857142857,1.0
,"TETRACYCLINE,QUINOLONE,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
METHICILLIN,TETRACYCLINE,0.2857142857142857,1.0,1.0
,"FOSFOMYCIN,TETRACYCLINE,BETA-LACTAM",0.7755102040816326,0.7755102040816326,1.0
,"TETRACYCLINE,QUINOLONE",0.16326530612244897,0.16326530612244897,1.0
TETRACYCLINE,QUINOLONE,0.16326530612244897,0.16326530612244897,1.0
,QUINOLONE,0.16326530612244897,0.16326530612244897,1.0
TETRACYCLINE,"METHICILLIN,QUINOLONE,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
,"TETRACYCLINE,QUINOLONE,METHICILLIN,MACROLIDE",0.09183673469387756,0.09183673469387756,1.0
QUINOLONE,TETRACYCLINE,0.16326530612244897,1.0,1.0
,"FOSFOMYCIN,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
TETRACYCLINE,"METHICILLIN,QUINOLONE,MACROLIDE",0.09183673469387756,0.09183673469387756,1.0
"QUINOLONE,METHICILLIN,BETA-LACTAM,MACROLIDE",TETRACYCLINE,0.09183673469387756,1.0,1.0
TETRACYCLINE,METHICILLIN,0.2857142857142857,0.2857142857142857,1.0
,METHICILLIN,0.2857142857142857,0.2857142857142857,1.0
"QUINOLONE,METHICILLIN,BETA-LACTAM",TETRACYCLINE,0.14285714285714285,1.0,1.0
,"TETRACYCLINE,BETA-LACTAM",0.9693877551020408,0.9693877551020408,1.0
,"FOSFOMYCIN,METHICILLIN",0.14285714285714285,0.14285714285714285,1.0
MACROLIDE,TETRACYCLINE,0.15306122448979592,1.0,1.0
,"QUINOLONE,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
,"METHICILLIN,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
,"TETRACYCLINE,QUINOLONE,METHICILLIN,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.09183673469387756,1.0
TETRACYCLINE,FOSFOMYCIN,0.8061224489795918,0.8061224489795918,1.0
,"FOSFOMYCIN,TETRACYCLINE",0.8061224489795918,0.8061224489795918,1.0
FOSFOMYCIN,TETRACYCLINE,0.8061224489795918,1.0,1.0
TETRACYCLINE,"METHICILLIN,QUINOLONE,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.09183673469387756,1.0
BETA-LACTAM,TETRACYCLINE,0.9693877551020408,1.0,1.0
"QUINOLONE,METHICILLIN,MACROLIDE",TETRACYCLINE,0.09183673469387756,1.0,1.0
,"QUINOLONE,BETA-LACTAM",0.16326530612244897,0.16326530612244897,1.0
,"METHICILLIN,BETA-LACTAM",0.2857142857142857,0.2857142857142857,1.0
,"BETA-LACTAM,MACROLIDE",0.15306122448979592,0.15306122448979592,1.0
,"FOSFOMYCIN,BETA-LACTAM",0.7755102040816326,0.7755102040816326,1.0
,"METHICILLIN,QUINOLONE",0.14285714285714285,0.14285714285714285,1.0
,TETRACYCLINE,1.0,1.0,1.0
BETA-LACTAM,FOSFOMYCIN,0.7755102040816326,0.8,0.9924050632911393
"TETRACYCLINE,BETA-LACTAM",FOSFOMYCIN,0.7755102040816326,0.8,0.9924050632911393
BETA-LACTAM,"FOSFOMYCIN,TETRACYCLINE",0.7755102040816326,0.8,0.9924050632911393
"FOSFOMYCIN,TETRACYCLINE",BETA-LACTAM,0.7755102040816326,0.9620253164556961,0.9924050632911392
FOSFOMYCIN,BETA-LACTAM,0.7755102040816326,0.9620253164556961,0.9924050632911392
FOSFOMYCIN,"TETRACYCLINE,BETA-LACTAM",0.7755102040816326,0.9620253164556961,0.9924050632911392
METHICILLIN,"FOSFOMYCIN,TETRACYCLINE,BETA-LACTAM",0.14285714285714285,0.5,0.6447368421052632
"TETRACYCLINE,METHICILLIN","FOSFOMYCIN,BETA-LACTAM",0.14285714285714285,0.5,0.6447368421052632
"FOSFOMYCIN,TETRACYCLINE,BETA-LACTAM",METHICILLIN,0.14285714285714285,0.18421052631578946,0.6447368421052632
"FOSFOMYCIN,BETA-LACTAM",METHICILLIN,0.14285714285714285,0.18421052631578946,0.6447368421052632
METHICILLIN,"FOSFOMYCIN,BETA-LACTAM",0.14285714285714285,0.5,0.6447368421052632
"FOSFOMYCIN,BETA-LACTAM","TETRACYCLINE,METHICILLIN",0.14285714285714285,0.18421052631578946,0.6447368421052632
FOSFOMYCIN,METHICILLIN,0.14285714285714285,0.17721518987341772,0.6202531645569621
"FOSFOMYCIN,TETRACYCLINE","METHICILLIN,BETA-LACTAM",0.14285714285714285,0.17721518987341772,0.6202531645569621
FOSFOMYCIN,"TETRACYCLINE,METHICILLIN",0.14285714285714285,0.17721518987341772,0.6202531645569621
"FOSFOMYCIN,TETRACYCLINE",METHICILLIN,0.14285714285714285,0.17721518987341772,0.6202531645569621
FOSFOMYCIN,"TETRACYCLINE,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.17721518987341772,0.6202531645569621
FOSFOMYCIN,"METHICILLIN,BETA-LACTAM",0.14285714285714285,0.17721518987341772,0.6202531645569621
"TETRACYCLINE,METHICILLIN",FOSFOMYCIN,0.14285714285714285,0.5,0.620253164556962
"METHICILLIN,BETA-LACTAM",FOSFOMYCIN,0.14285714285714285,0.5,0.620253164556962
"METHICILLIN,BETA-LACTAM","FOSFOMYCIN,TETRACYCLINE",0.14285714285714285,0.5,0.620253164556962
METHICILLIN,FOSFOMYCIN,0.14285714285714285,0.5,0.620253164556962
"TETRACYCLINE,METHICILLIN,BETA-LACTAM",FOSFOMYCIN,0.14285714285714285,0.5,0.620253164556962
METHICILLIN,"FOSFOMYCIN,TETRACYCLINE",0.14285714285714285,0.5,0.620253164556962
